Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
CORNING COMM SCHOOL DISTRICT,Corning,IA,16376,13102,8263
COUNCIL BLUFFS COMM SCHOOL DISTRICT,Council Bluffs,IA,12958,10880,7219
CRESTON COMM SCHOOL DISTRICT,Creston,IA,11736,9949,6482
DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT,Dallas Center,IA,11846,9748,6109
DANVILLE COMM SCHOOL DISTRICT,Danville,IA,13340,11888,7462
DAVENPORT COMM SCHOOL DISTRICT,Davenport,IA,12937,10774,7096
DAVIS COUNTY COMM SCHOOL DISTRICT,Bloomfield,IA,10986,10110,6482
DECORAH COMMUNITY SCHOOL DISTRICT,Decorah,IA,15041,12719,8383
DELWOOD COMM SCHOOL DISTRICT,Delmar,IA,11197,9319,6026
DENISON COMM SCHOOL DISTRICT,Denison,IA,11865,10833,6885
DENVER COMM SCHOOL DISTRICT,Denver,IA,10033,9063,5982
DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Des Moines,IA,13757,11499,7172
DIAGONAL COMM SCHOOL DISTRICT,Diagonal,IA,16933,14413,7615
DIKE-NEW HARTFORD COMM SCHOOL DISTRICT,Dike,IA,10512,9236,6055
DUBUQUE COMM SCHOOL DISTRICT,Dubuque,IA,13102,11449,7513
DUNKERTON COMM SCHOOL DISTRICT,Dunkerton,IA,10703,9163,6044
DURANT COMM SCHOOL DISTRICT,Durant,IA,12397,10895,6785
EAGLE GROVE COMM SCHOOL DISTRICT,Eagle Grove,IA,11370,10479,6725
EARLHAM COMM SCHOOL DISTRICT,Earlham,IA,10522,9303,5858
EAST BUCHANAN COMM SCHOOL DISTRICT,Winthrop,IA,10978,9273,6011
EAST MARSHALL COMM SCHOOL DISTRICT,Gilman,IA,16778,14454,8645
EAST MILLS COMM SCHOOL DISTRICT,Hastings,IA,10800,8482,5203
EAST SAC COUNTY COMM SCHOOL DISTRICT,Lake View,IA,11191,10060,6488
EAST UNION COMM SCHOOL DISTRICT,Afton,IA,13133,10333,6619
EASTERN ALLAMAKEE COMM SCHOOL DISTRICT,Lansing,IA,12060,10916,6448
EASTON VALLEY COMM SCHOOL DISTRICT,Preston,IA,11975,8031,5202
EDDYVILLE-BLAKESBURG- FREMONT CSD,Eddyville,IA,12378,10659,6364
EDGEWOOD-COLESBURG COMM SCHOOL DISTRICT,Edgewood,IA,13981,12924,8079
ELDORA-NEW PROVIDENCE COMM SCHOOL DISTRICT,Eldora,IA,13650,10988,7208
EMMETSBURG COMM SCHOOL DISTRICT,Emmetsburg,IA,13629,11405,7721
ENGLISH VALLEYS COMM SCHOOL DISTRICT,North English,IA,13030,11130,7685
ESSEX COMM SCHOOL DISTRICT,Essex,IA,12498,10616,6952
ESTHERVILLE LINCOLN CENTRAL COM SCH DIST,Estherville,IA,13190,9345,6139
EXIRA-ELK HORN- KIMBALLTON COMM SCH DIST,Elk Horn,IA,12133,10038,6265
FAIRFIELD COMM SCHOOL DISTRICT,Fairfield,IA,17929,10680,6656
FOREST CITY COMM SCHOOL DISTRICT,Forest City,IA,13230,11190,7176
FORT DODGE COMM SCHOOL DISTRICT,Fort Dodge,IA,11080,9943,6259
FORT MADISON COMM SCHOOL DISTRICT,Fort Madison,IA,10393,9192,6284
