Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
MONTROSE COUNTY SCHOOL DISTRICT RE-1J,MONTROSE,CO,8888,8431,4987
MOUNTAIN VALLEY SCHOOL DISTRICT NO. RE 1,SAGUACHE,CO,16304,15928,8304
NORTH CONEJOS SCHOOL DISTRICT NO. RE1J,LA JARA,CO,9393,9016,5426
NORTH PARK SCHOOL DISTRICT R-1,WALDEN,CO,15689,14605,7926
NORWOOD SCHOOL DISTRICT NO. R-2J,NORWOOD,CO,13833,13178,7474
OTIS SCHOOL DISTRICT NO. R-3,OTIS,CO,47478,12071,7243
OURAY SCHOOL DISTRICT NO. R-1 OF  THE COUNTY OF OURAY AND,OURAY,CO,17670,16031,9906
PARK COUNTY SCHOOL DISTRICT NO. RE-2,FAIRPLAY,CO,11644,10272,6100
PEYTON SCHOOL DISTRICT NO. 23 IN THE COUNTY OF EL PASO AND,PEYTON,CO,9842,8920,5071
PLATEAU VALLEY SCHOOL DISTRICT NO. 50 IN THE COUNTY OF MESA,COLLBRAN,CO,9575,8996,5285
PLATTE CANYON SCHOOL DISTRICT NO. 1 OF  THE COUNTY OF PARK,BAILEY,CO,10032,9303,5016
POUDRE SCHOOL DISTRICT R-1,Fort Collins,CO,10647,9682,5418
PRIMERO REORGANIZED SCHOOL DISTRICT NO. 2,WESTON,CO,16843,15168,7569
PRITCHETT SCHOOL DISTRICT NO. RE-3,PRITCHETT,CO,29324,28649,14135
PUEBLO COUNTY SCHOOL DISTRICT 70,PUEBLO,CO,10585,7364,4214
PUEBLO SCHOOL DISTRICT NO. 60 IN THE COUNTY OF PUEBLO AND,PUEBLO,CO,8621,8230,4721
RANGELY SCHOOL DISTRICT RE4,RANGELY,CO,11961,9351,4856
REVERE SCHOOL DISTRICT,OVID,CO,42019,15566,9387
RIDGWAY SCHOOL DISTRICT NO. R-2  OF  THE COUNTY OF OURAY A,RIDGWAY,CO,13320,12132,6374
ROARING FORK SCHOOL DISTRICT NO. RE-1,GLENWOOD SPRINGS,CO,11239,9844,6353
ROCKY FORD SCHOOL DISTRICT NO. R2,ROCKY FORD,CO,10489,10015,5729
SALIDA SCHOOL DISTRICT NO. R-32,SALIDA,CO,14809,10281,5833
SANFORD SCHOOL DISTRICT NO. 6 IN THE COUNTY OF CONEJOS AND,SANFORD,CO,10082,9059,5645
SANGRE DE CRISTO SCHOOL DISTRICT NO. RE-22J,MOSCA,CO,11368,10270,5623
SARGENT SCHOOL DISTRICT NO. RE-33J,MONTE VISTA,CO,10031,9401,4703
SCHOOL DISTRICT 27J,BRIGHTON,CO,8377,7700,4318
SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,COMMERCE CITY,CO,10415,9608,4677
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,DENVER,CO,15110,10675,5189
SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,COLORADO SPRINGS,CO,8646,7818,4300
SCHOOL DISTRICT NO. C-1 IN THE COUNTY OF ELBERT AND STATE O,ELIZABETH,CO,8253,7350,4171
SCHOOL DISTRICT NO. C-2 IN THE COUNTY OF ELBERT AND STATE OF,KIOWA,CO,13115,12049,6571
SCHOOL DISTRICT NO. R-4 IN THE COUNTY OF KIT CARSON AND STAT,STRATTON,CO,12264,11311,6104
SCHOOL DISTRICT NO. RE-1 VALLEY,STERLING,CO,11928,8931,5342
SCHOOL DISTRICT NO. RE-11 IN THE COUNTY OF WELD AND STATE OF,NEW RAYMER,CO,15042,13047,7505
SCHOOL DISTRICT NO. RE-12 IN THE COUNTY OF WELD AND STATE OF,GROVER,CO,44136,24210,13148
SCHOOL DISTRICT NO. RE-2 BRUSH,BRUSH,CO,8738,8001,4387
SCHOOL DISTRICT NO. RE-20 WELDON VALLEY,WELDONA,CO,10639,9791,5746
SCHOOL DISTRICT NO. RE-3 FORT MORGAN,FORT MORGAN,CO,11301,8443,4522
SCHOOL DISTRICT NO. RE-3 FRENCHMAN,FLEMING,CO,12773,12389,7515
SCHOOL DISTRICT NO. RE-4 BUFFALO,MERINO,CO,11235,10279,5787
SCHOOL DISTRICT NO. RE-5 PLATEAU,PEETZ,CO,19073,15678,8571
SCHOOL DISTRICT NO. RE-50 WIGGINS,WIGGINS,CO,8256,7821,4590
SHERIDAN SCHOOL DISTRICT NO. 2,ENGLEWOOD,CO,22684,12884,6161
SIERRA GRANDE SCHOOL DISTRICT NO. R-30,BLANCA,CO,13453,13177,6291
SILVERTON SCHOOL DISTRICT NO. 1 IN THE COUNTY OF SAN JUAN,SILVERTON,CO,26516,22226,12371
SOUTH CONEJOS SCHOOL DISTRICT NO. RE10,Antonito,CO,14894,13367,7092
SOUTH ROUTT SCHOOL DISTRICT NO. RE 3,OAK CREEK,CO,14031,13243,7228
SPRINGFIELD SCHOOL DISTRICT NO. RE-4,SPRINGFIELD,CO,10452,10157,6094
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,LONGMONT,CO,10113,8841,4811
STATE CHARTER SCHOOL INSTITUTE,DENVER,CO,8302,7164,3623
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,STEAMBOAT SPRINGS,CO,12064,10697,6034
STRASBURG SCHOOL DISTRICT 31J,STRASBURG,CO,9592,8377,4904
SUMMIT SCHOOL DISTRICT NO. RE 1,FRISCO,CO,11828,11019,6128
SWINK SCHOOL DISTRICT NO. 33 IN THE COUNTY OF OTERO AND ST,SWINK,CO,11034,10160,5966
TELLURIDE SCHOOL DISTRICT NO. R-1,TELLURIDE,CO,16061,12433,7669
THOMPSON SCHOOL DISTRICT R-2J,LOVELAND,CO,9324,8506,4940
TRINIDAD SCHOOL DISTRICT 1 IN THE COUNTY OF LAS ANIMAS AND,TRINIDAD,CO,10308,9853,5000
VILAS SCHOOL DISTRICT RE-5,VILAS,CO,13692,13481,7442
WALSH SCHOOL DISTRICT NO. RE-1,WALSH,CO,14654,13821,7231
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-1,GILCREST,CO,10402,9266,5310
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-4,WINDSOR,CO,8345,7803,4603
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-8,FORT LUPTON,CO,12851,10172,5313
WELD COUNTY SCHOOL DISTRICT NO. RE-2,EATON,CO,8244,7538,4597
WELD COUNTY SCHOOL DISTRICT NO. RE-5J,MILLIKEN,CO,7884,7410,5000
WELD COUNTY SCHOOL DISTRICT NO. RE-7,KERSEY,CO,15267,11059,6137
WELD COUNTY SCHOOL DISTRICT NO. RE-9,AULT,CO,10598,9426,5133
WELD COUNTY SCHOOL DISTRICT RE-3J,KEENESBURG,CO,9164,8320,4491
WEST END SCHOOL DISTRICT NO. RE-2,NUCLA,CO,14985,13891,7102
WEST GRAND SCHOOL DISTRICT NO. 1,KREMMLING,CO,13185,11694,6777
WESTMINSTER PUBLIC SCHOOLS,WESTMINSTER,CO,10194,9158,5057
WILEY SCHOOL DISTRICT NO. RE-13 JT,WILEY,CO,11280,10148,6332
WOODLAND PARK SCHOOL DISTRICT NO. RE-2,WOODLAND PARK,CO,9832,8413,4988
WOODLIN SCHOOL DISTRICT NO. R-104,WOODROW,CO,17069,15559,7265
WRAY RD-2 SCHOOL DISTRICT,WRAY,CO,10657,9683,5384
YUMA 1 SCHOOL DISTRICT,YUMA,CO,10924,9820,5726
ACHIEVEMENT FIRST HARTFORD AC,Hartford,CT,24275,23586,6757
AMISTAD ACADEMY DISTRICT,New Haven,CT,14746,14439,6453
ANDOVER SCHOOL DISTRICT,ANDOVER,CT,18476,17898,11804
ANSONIA SCHOOL DISTRICT,ANSONIA,CT,16954,14932,9080
ASHFORD SCHOOL DISTRICT,Ashford,CT,21313,19639,12689
AVON SCHOOL DISTRICT,AVON,CT,18853,17469,11069
BARKHAMSTED SCHOOL DISTRICT,BARKHAMSTED,CT,15148,14719,9445
BERLIN SCHOOL DISTRICT,BERLIN,CT,23762,17862,9831
BETHANY SCHOOL DISTRICT,BETHANY,CT,19877,19322,12666
BETHEL SCHOOL DISTRICT,Bethel,CT,18837,17792,10442
BLOOMFIELD SCHOOL DISTRICT,BLOOMFIELD,CT,26815,24345,13333
BOLTON SCHOOL DISTRICT,BOLTON,CT,20008,18326,10631
BOOKER T WASHINGTON ACADEMY D,New Haven,CT,26769,26747,7077
BOZRAH SCHOOL DISTRICT,Bozrah,CT,30225,21890,13632
BRANFORD SCHOOL DISTRICT,BRANFORD,CT,20395,19107,11631
BRASS CITY CHARTER SCHOOL DIS,Waterbury,CT,16220,15493,6893
BRIDGEPORT ACHIEVEMENT FIRST,Bridgeport,CT,17625,12418,6555
BRIDGEPORT SCHOOL DISTRICT,Bridgeport,CT,18942,15450,9200
BRISTOL SCHOOL DISTRICT,Bristol,CT,16924,15609,9927
BROOKFIELD SCHOOL DISTRICT,BROOKFIELD,CT,17290,16406,9771
BROOKLYN SCHOOL DISTRICT,BROOKLYN,CT,21294,15175,9369
CANAAN SCHOOL DISTRICT,FALLS VILLAGE,CT,32436,31385,19808
CANTERBURY SCHOOL DISTRICT,Canterbury,CT,28295,20452,12667
CANTON SCHOOL DISTRICT,Canton,CT,18932,17821,9645
CHAPLIN SCHOOL DISTRICT,Chaplin,CT,24230,23444,14652
CHESHIRE SCHOOL DISTRICT,CHESHIRE,CT,17505,16665,10523
CHESTER SCHOOL DISTRICT,Deep River,CT,22361,22174,12110
CLINTON SCHOOL DISTRICT,CLINTON,CT,23181,18936,12844
COLCHESTER SCHOOL DISTRICT,Colchester,CT,18036,16829,10085
COLEBROOK SCHOOL DISTRICT,Colebrook,CT,24703,23824,15011
COLUMBIA SCHOOL DISTRICT,Columbia,CT,30804,20289,10205
COMMON GROUND HIGH SCHOOL DIS,New Haven,CT,30789,16206,5178
CORNWALL SCHOOL DISTRICT,FALLS VILLAGE,CT,39593,38934,24407
COVENTRY SCHOOL DISTRICT,COVENTRY,CT,19662,18427,11984
CROMWELL SCHOOL DISTRICT,CROMWELL,CT,17520,16037,10491
DANBURY SCHOOL DISTRICT,DANBURY,CT,15624,14265,9913
DARIEN SCHOOL DISTRICT,Darien,CT,21897,20140,13898
DEEP RIVER SCHOOL DISTRICT,Deep River,CT,21301,20218,11279
DERBY SCHOOL DISTRICT,Derby,CT,21055,19123,9993
EAST GRANBY SCHOOL DISTRICT,East Granby,CT,21526,19663,11918
EAST HADDAM SCHOOL DISTRICT,Moodus,CT,21637,19651,11812
EAST HAMPTON SCHOOL DISTRICT,EAST HAMPTON,CT,21604,17536,11460
EAST HARTFORD SCHOOL DISTRICT,EAST HARTFORD,CT,19459,17848,10798
EAST HAVEN SCHOOL DISTRICT,EAST HAVEN,CT,20737,18176,11052
EAST LYME SCHOOL DISTRICT,Est Lyme,CT,18363,17701,10929
EAST WINDSOR SCHOOL DISTRICT,EAST WINDSOR,CT,23579,21668,12571
EASTFORD SCHOOL DISTRICT,Eastford,CT,30842,24518,14460
EASTON SCHOOL DISTRICT,Monroe,CT,20739,19613,13878
ELLINGTON SCHOOL DISTRICT,Ellington,CT,15818,15008,9060
ELM CITY COLLEGE PREPARATORY,New Haven,CT,47351,25085,5981
ELM CITY MONTESSORI SCHOOL DI,New Haven,CT,29943,27943,11843
ENFIELD SCHOOL DISTRICT,ENFIELD,CT,23249,16721,10990
ESSEX SCHOOL DISTRICT,Deep River,CT,20865,19530,11510
EXPLORATIONS DISTRICT,Winsted,CT,13455,13455,6068
FAIRFIELD SCHOOL DISTRICT,Fairfield,CT,20404,18212,10801
FARMINGTON SCHOOL DISTRICT,FARMINGTON,CT,19364,18038,11849
FRANKLIN SCHOOL DISTRICT,NORTH FRANKLIN,CT,27467,19407,11737
GLASTONBURY SCHOOL DISTRICT,GLASTONBURY,CT,19459,17919,10533
GRANBY SCHOOL DISTRICT,GRANBY,CT,17927,16529,9786
GREAT OAKS CHARTER SCHOOL BRI,Bridgeport,CT,18598,16945,4811
GREENWICH SCHOOL DISTRICT,GREENWICH,CT,25759,24799,17468
GRISWOLD SCHOOL DISTRICT,Griswold,CT,17349,15879,9272
GROTON SCHOOL DISTRICT,Mystic,CT,20339,18886,10718
GUILFORD SCHOOL DISTRICT,Guilford,CT,24039,18335,11427
HAMDEN SCHOOL DISTRICT,HAMDEN,CT,24005,21538,13376
HAMPTON SCHOOL DISTRICT,HAMPTON,CT,25698,25472,14245
HARTFORD SCHOOL DISTRICT,HARTFORD,CT,24500,19902,11421
HARTLAND SCHOOL DISTRICT,East Hartland,CT,27119,20473,10846
HEBRON SCHOOL DISTRICT,HEBRON,CT,18727,18205,11275
Highville Charter School,New Haven,CT,30467,12400,5392
INTEGRATED DAY CHARTER SCHOOL,Norwich,CT,13535,12976,5888
INTRDIST SCH FOR ARTS AND COM,New London,CT,14141,10832,4653
JUMOKE ACADEMY DISTRICT,Hartford,CT,13087,11923,5455
KENT SCHOOL DISTRICT,FALLS VILLAGE,CT,25523,24969,16353
KILLINGLY SCHOOL DISTRICT,Danielson,CT,19758,16851,9612
LEBANON SCHOOL DISTRICT,Lebanon,CT,19996,18165,11305
LEDYARD SCHOOL DISTRICT,LEDYARD,CT,17652,16484,9997
LISBON SCHOOL DISTRICT,LISBON,CT,28153,19289,11829
LITCHFIELD SCHOOL DISTRICT,Litchfield,CT,22120,20271,11364
MADISON SCHOOL DISTRICT,Madison,CT,19445,18011,10634
MANCHESTER SCHOOL DISTRICT,Manchester,CT,22140,20277,11996
MANSFIELD SCHOOL DISTRICT,MANSFIELD,CT,22482,21701,13566
MARLBOROUGH SCHOOL DISTRICT,MARLBOROUGH,CT,14950,14170,9838
MERIDEN SCHOOL DISTRICT,Meriden,CT,23068,16381,10209
MIDDLETOWN SCHOOL DISTRICT,MIDDLETOWN,CT,21319,18880,11697
MILFORD SCHOOL DISTRICT,MILFORD,CT,21797,20210,13583
MONROE SCHOOL DISTRICT,MONROE,CT,19602,18539,11143
MONTVILLE SCHOOL DISTRICT,OAKDALE,CT,19204,18249,11505
NAUGATUCK SCHOOL DISTRICT,NAUGATUCK,CT,18830,18178,11168
NEW BEGINNINGS INC.,Bridgeport,CT,19091,15609,7188
NEW BRITAIN SCHOOL DISTRICT,New Britain,CT,17982,16319,11353
NEW CANAAN SCHOOL DISTRICT,NEW CANAAN,CT,24061,22023,12882
NEW FAIRFIELD SCHOOL DISTRICT,NEW FAIRFIELD,CT,17362,16614,10489
NEW HARTFORD SCHOOL DISTRICT,New Hartford,CT,18970,17679,11752
NEW HAVEN SCHOOL DISTRICT,NEW HAVEN,CT,20695,17795,11554
NEW LONDON SCHOOL DISTRICT,NEW LONDON,CT,22570,18963,9943
NEW MILFORD SCHOOL DISTRICT,NEW MILFORD,CT,17064,15871,9571
NEWINGTON SCHOOL DISTRICT,NEWINGTON,CT,20263,18345,11084
NEWTOWN SCHOOL DISTRICT,NEWTOWN,CT,21671,18138,9932
NORFOLK SCHOOL DISTRICT,Norfolk,CT,26513,25426,12948
NORTH BRANFORD SCHOOL DISTRIC,Northford,CT,18570,17172,9111
NORTH CANAAN SCHOOL DISTRICT,FALLS VILLAGE,CT,23946,23643,15671
NORTH HAVEN SCHOOL DISTRICT,NORTH HAVEN,CT,18459,16813,9521
NORTH STONINGTON SCHOOL DISTR,NORTH STONINGTON,CT,20066,19220,11741
NORWALK SCHOOL DISTRICT,Norwalk,CT,20682,19257,12321
NORWICH FREE ACADEMY,NORWICH,CT,5771,5771,5101
NORWICH SCHOOL DISTRICT,NORWICH,CT,26577,17557,10791
ODYSSEY COMMUNITY SCHOOL DIST,Manchester,CT,13662,11893,5744
OLD SAYBROOK SCHOOL DISTRICT,OLD SAYBROOK,CT,21095,18808,10980
ORANGE SCHOOL DISTRICT,ORANGE,CT,20450,19085,11797
OXFORD SCHOOL DISTRICT,OXFORD,CT,17336,16144,10313
PARK CITY PREP CHARTER SCHOOL,Bridgeport,CT,12767,11019,3808
PATH ACADEMY DISTRICT,Willimantic,CT,18328,17687,4604
PLAINFIELD SCHOOL DISTRICT,Plainfield,CT,17685,16484,9578
PLAINVILLE SCHOOL DISTRICT,PLAINVILLE,CT,18869,17532,11533
PLYMOUTH SCHOOL DISTRICT,TERRYVILLE,CT,18660,17110,10713
POMFRET SCHOOL DISTRICT,Pomfret Center,CT,28738,18919,12326
PORTLAND SCHOOL DISTRICT,Portland,CT,17901,16736,9871
PRESTON SCHOOL DISTRICT,PRESTON,CT,30232,22234,14124
PUTNAM SCHOOL DISTRICT,PUTNAM,CT,27856,18280,10237
REDDING SCHOOL DISTRICT,MONROE,CT,25574,24306,17949
REGIONAL SCHOOL DISTRICT 01,FALLS VILLAGE,CT,31109,27561,15898
REGIONAL SCHOOL DISTRICT 04,Deep River,CT,20297,18422,10335
REGIONAL SCHOOL DISTRICT 05,WOODBRIDGE,CT,20729,18521,10380
REGIONAL SCHOOL DISTRICT 06,LITCHFIELD,CT,21223,20515,11802
REGIONAL SCHOOL DISTRICT 07,WINSTED,CT,20289,18753,11115
REGIONAL SCHOOL DISTRICT 08,HEBRON,CT,18322,16645,9713
REGIONAL SCHOOL DISTRICT 09,MONROE,CT,24445,22072,15366
REGIONAL SCHOOL DISTRICT 10,BURLINGTON,CT,17386,16261,9656
REGIONAL SCHOOL DISTRICT 11,Chaplin,CT,27327,23428,12026
REGIONAL SCHOOL DISTRICT 12,Washington Depot,CT,32304,30347,15636
REGIONAL SCHOOL DISTRICT 13,DURHAM,CT,22147,21136,12168
REGIONAL SCHOOL DISTRICT 14,Woodbury,CT,20613,19578,10547
REGIONAL SCHOOL DISTRICT 15,Middlebury,CT,19279,18394,11005
REGIONAL SCHOOL DISTRICT 16,PROSPECT,CT,25136,17372,9314
REGIONAL SCHOOL DISTRICT 17,Higganum,CT,20156,19078,11119
REGIONAL SCHOOL DISTRICT 18,Old Lyme,CT,24840,22822,12073
REGIONAL SCHOOL DISTRICT 19,STORRS,CT,20267,18778,11498
RIDGEFIELD SCHOOL DISTRICT,Ridgefield,CT,19921,18909,11630
ROCKY HILL SCHOOL DISTRICT,ROCKY HILL,CT,21135,17684,11237
SALEM SCHOOL DISTRICT,SALEM,CT,32209,19245,9112
SALISBURY SCHOOL DISTRICT,FALLS VILLAGE,CT,26846,26619,16817
SCOTLAND SCHOOL DISTRICT,Chaplin,CT,25783,23202,13767
SEYMOUR SCHOOL DISTRICT,Seymour,CT,18029,16489,9266
SHARON SCHOOL DISTRICT,FALLS VILLAGE,CT,31367,30983,18299
SHELTON SCHOOL DISTRICT,Shelton,CT,17481,16649,10491
SHERMAN SCHOOL DISTRICT,SHERMAN,CT,29928,21965,15176
SIDE BY SIDE COMMUNITY SCHOOL,Norwalk,CT,12574,12323,6068
SIMSBURY SCHOOL DISTRICT,SIMSBURY,CT,18791,17849,11009
SOMERS SCHOOL DISTRICT,SOMERS,CT,16943,16035,10371
SOUTH WINDSOR SCHOOL DISTRICT,SOUTH WINDSOR,CT,20123,18650,11298
SOUTHINGTON SCHOOL DISTRICT,SOUTHINGTON,CT,19123,15331,9900
SPRAGUE SCHOOL DISTRICT,BALTIC,CT,20187,16091,11025
STAFFORD SCHOOL DISTRICT,Stafford Springs,CT,20881,19298,11487
STAMFORD ACADEMY,Stamford,CT,23085,23057,7220
STAMFORD SCHOOL DISTRICT,Stamford,CT,21376,19393,11659
STERLING SCHOOL DISTRICT,Oneco,CT,20356,13629,8488
STONINGTON SCHOOL DISTRICT,OLD MYSTIC,CT,19323,17692,10306
STRATFORD SCHOOL DISTRICT,STRATFORD,CT,18339,16721,9990
SUFFIELD SCHOOL DISTRICT,SUFFIELD,CT,17416,15944,10435
THE BRIDGE ACADEMY DISTRICT,Bridgeport,CT,14767,14396,7629
THE GILBERT SCHOOL,WINSTED,CT,5234,5234,5234
THOMASTON SCHOOL DISTRICT,Thomaston,CT,19773,18093,10369
THOMPSON SCHOOL DISTRICT,NORTH GROSVENORD,CT,20782,17997,9462
TOLLAND SCHOOL DISTRICT,TOLLAND,CT,17379,15738,10135
TORRINGTON SCHOOL DISTRICT,TORRINGTON,CT,20362,18415,11574
TRAILBLAZERS ACADEMY DISTRICT,Stamford,CT,39269,39227,9471
TRUMBULL SCHOOL DISTRICT,TRUMBULL,CT,18168,17207,10463
UNION SCHOOL DISTRICT,UNION,CT,29763,23225,14713
VERNON SCHOOL DISTRICT,Vernon,CT,20034,18367,11426
VOLUNTOWN SCHOOL DISTRICT,Voluntown,CT,24530,18738,10502
WALLINGFORD SCHOOL DISTRICT,WALLINGFORD,CT,19496,18198,10772
WATERBURY SCHOOL DISTRICT,Waterbury,CT,18439,16794,10516
WATERFORD SCHOOL DISTRICT,WATERFORD,CT,23016,20378,12865
WATERTOWN SCHOOL DISTRICT,WATERTOWN,CT,17447,16294,9432
WEST HARTFORD SCHOOL DISTRICT,WEST HARTFORD,CT,18800,17502,10459
WEST HAVEN SCHOOL DISTRICT,WEST HAVEN,CT,19294,16924,9985
WESTBROOK SCHOOL DISTRICT,WESTBROOK,CT,24355,22715,15506
WESTON SCHOOL DISTRICT,WESTON,CT,24644,22654,13518
WESTPORT SCHOOL DISTRICT,WESTPORT,CT,23817,22450,13705
WETHERSFIELD SCHOOL DISTRICT,WETHERSFIELD,CT,24722,17232,11030
WILLINGTON SCHOOL DISTRICT,Willington,CT,22308,21751,13207
WILTON SCHOOL DISTRICT,Wilton,CT,22401,20914,13079
WINCHESTER SCHOOL DISTRICT,WINSTED,CT,42139,24826,13817
WINDHAM SCHOOL DISTRICT,WILLIMANTIC,CT,23016,20697,12178
WINDSOR LOCKS SCHOOL DISTRICT,WINDSOR LOCKS,CT,23151,21594,13271
WINDSOR SCHOOL DISTRICT,WINDSOR,CT,25837,23404,13582
WOLCOTT SCHOOL DISTRICT,WOLCOTT,CT,17416,16482,10621
WOODBRIDGE SCHOOL DISTRICT,WOODBRIDGE,CT,19207,18653,13018
WOODSTOCK ACADEMY,WOODSTOCK,CT,5235,5235,5235
WOODSTOCK SCHOOL DISTRICT,WOODSTOCK,CT,21769,14965,9678
Achievement Preparatory Academy PCS,Washington,DC,15125,15125,7239
AppleTree Early Learning PCS,Washington,DC,20438,20213,8335
BASIS DC PCS,Washington,DC,13201,13201,6866
BRIDGES PCS,Washington,DC,28926,28776,13827
BRIYA PCS,Washington,DC,113913,35239,24000
CAPITAL CITY PCS,Washington,DC,22312,19667,10300
Cedar Tree Academy PCS,Washington,DC,19014,18391,8986
CENTER CITY PCS,Washington,DC,17989,17696,8434
Cesar Chavez PCS for Public Policy,Washington,DC,22318,20463,7729
City Arts & Prep PCS,Washington,DC,17797,17665,6437
CREATIVE MINDS INTERNATIONAL PCS,Washington,DC,26166,25646,13094
DC BILINGUAL PCS,Washington,DC,24734,24734,10802
DC Prep PCS,Washington,DC,22362,20070,9465
DC SCHOLARS PCS,Washington,DC,17185,17095,8375
DEMOCRACY PREP CONGRESS HEIGHTS PCS,Washington,DC,15713,15713,8006
DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,Washington,DC,22157,19952,9119
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Washington,DC,31162,21071,12076
E.L. Haynes PCS,Washington,DC,22071,21664,10970
EAGLE ACADEMY PCS,Washington,DC,22893,21646,10492
EARLY CHILDHOOD ACADEMY PCS,Washington,DC,19610,19463,9479
Elsie Whitlow Stokes Community Freedom PCS,Washington,DC,21877,20829,12163
EXCEL ACADEMY PCS,Washington,DC,18544,17983,7685
FRIENDSHIP PCS,Washington,DC,19305,16986,8944
Harmony DC PCS,Washington,DC,30045,28833,12333
HOPE COMMUNITY PCS,Lanham,MD,20263,20232,7968
Howard University Middle School of Math and Science PCS,Washington,DC,19721,19684,12588
IDEA PCS,Washington,DC,20346,18871,11124
IDEAL ACADEMY PCS,Washington,DC,20966,19643,8660
Ingenuity Prep PCS,Washington,DC,24448,24448,12507
INSPIRED TEACHING DEMONSTRATION PCS,Washington,DC,17912,17722,8634
KIPP DC PCS,Washington,DC,22469,20576,8143
Latin American Montessori Bilingual PCS,Washington,DC,19538,18573,9789
LAYC Career Academy PCS,Washington,DC,15511,15368,9084
LEE MONTESSORI PCS,Washington,DC,27473,27473,12446
Mary McLeod Bethune Day Academy PCS,Washington,DC,18005,18005,9591
MAYA ANGELOU PCS,Washington,DC,67792,40192,11964
MERIDIAN PCS,Washington,DC,17055,17055,9023
MUNDO VERDE BILINGUAL PCS,Washington,DC,21569,20490,8770
National Collegiate Preparatory PCHS,Washington,DC,21408,21399,10402
Paul PCS,Washington,DC,29461,14017,5996
PERRY STREET PREPARATORY PCS,Washington,DC,18215,17771,8368
Richard Wright PCS for Journalism and Media Arts,Washington,DC,24364,24364,9000
ROOTS PCS,Washington,DC,21463,21463,13663
SEED PCS OF WASHINGTON DC,Washington,DC,43860,42217,20461
SELA PCS,Washington,DC,29884,28953,12337
Shining Stars Montessori Academy PCS,Washington,DC,21042,21042,7661
Somerset Preparatory Academy PCS,Washington,DC,23842,23079,11208
St. Coletta Special Education PCS,Washington,DC,74976,72960,35127
The Next Step/El Proximo Paso PCS,Washington,DC,16713,1413,0
THURGOOD MARSHALL ACADEMY PCS,Washington,DC,21329,20896,10334
TWO RIVERS PCS,Washington,DC,48515,21869,12210
WASHINGTON LATIN PCS,Washington,DC,12921,11506,6373
Washington Mathematics Science Technology PCHS,Washington,DC,23988,21582,12113
WASHINGTON YU YING PCS,Washington,DC,18676,16631,9038
Youthbuild PCS,Washington,DC,28527,28527,11795
ACADEMIA ANTONIA ALONSO,Wilmington,DE,10652,10652,5109
ACADEMY OF DOVER CHARTER SCHOOL,Dover,DE,13569,13283,5559
APPOQUINIMINK SCHOOL DISTRICT,Odessa,DE,11700,11053,7060
BRANDYWINE SCHOOL DISTRICT,Wilmington,DE,15893,15170,9030
CAESAR RODNEY SCHOOL DISTRICT,Wyoming,DE,14069,13035,8449
CAMPUS COMMUNITY CHARTER SCHOOL,Dover,DE,10617,10615,5790
CAPE HENLOPEN SCHOOL DISTRICT,Lewes,DE,20967,15268,10484
CAPITAL SCHOOL DISTRICT,Dover,DE,17787,13852,8881
CHARTER SCHOOL OF WILMINGTON,Wilmington,DE,10100,9892,7176
CHRISTINA SCHOOL DISTRICT,Wilmington,DE,19903,17862,10008
COLONIAL SCHOOL DISTRICT,New Castle,DE,14668,13873,8633
DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY,New Castle,DE,12953,12168,7664
DELAWARE COLLEGE PREPARATORY ACADEMY,Wilmington,DE,13347,13332,6805
DELAWARE MILITARY ACADEMY,Wilmington,DE,10276,8903,761
DELMAR SCHOOL DISTRICT,Delmar,DE,10999,9919,6609
EARLY COLLEGE HIGH SCHOOL AT DELAWARE STATE UNIVERSITY,Dover,DE,15233,15132,8101
EAST SIDE CHARTER SCHOOL,Wilmington,DE,15553,15433,8041
EDISON (THOMAS A.) CHARTER SCHOOL,Wilmington,DE,12164,12106,5588
FIRST STATE MONTESSORI ACADEMY,Wilmington,DE,12513,12513,6230
GATEWAY LAB SCHOOL,Wilmington,DE,20071,19811,7825
INDIAN RIVER SCHOOL DISTRICT,Selbyville,DE,15650,13898,8661
KUUMBA ACADEMY CHARTER SCHOOL,Wilmington,DE,12608,12064,6948
LAKE FOREST SCHOOL DISTRICT,Felton,DE,13438,11911,7352
LAS AMERICAS ASPIRA ACADEMY,Newark,DE,11822,11473,6820
LAUREL SCHOOL DISTRICT,Laurel,DE,19712,11232,6998
MILFORD SCHOOL DISTRICT,MILFORD,DE,12379,11692,7442
MOT CHARTER SCHOOL,Middletown,DE,23377,8461,5130
NEW CASTLE COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,Wilmington,DE,19251,16505,9560
