Metro Area,Unemployment Rate,Rank
"St. Louis, MO-IL Metropolitan Statistical Area(1)",2.9,89
"Spartanburg, SC Metropolitan Statistical Area",2.9,89
"Tulsa, OK Metropolitan Statistical Area",2.9,89
"Athens-Clarke County, GA Metropolitan Statistical Area",3,105
"Columbia, SC Metropolitan Statistical Area",3,105
"Corvallis, OR Metropolitan Statistical Area",3,105
"Duluth, MN-WI Metropolitan Statistical Area",3,105
"Durham-Chapel Hill, NC Metropolitan Statistical Area",3,105
"Elkhart-Goshen, IN Metropolitan Statistical Area",3,105
"Greeley, CO Metropolitan Statistical Area",3,105
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",3,105
"Lancaster, PA Metropolitan Statistical Area",3,105
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",3,105
"Lynchburg, VA Metropolitan Statistical Area",3,105
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",3,105
"New Haven, CT Metropolitan NECTA",3,105
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",3,105
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",3,105
"Raleigh, NC Metropolitan Statistical Area",3,105
"Rapid City, SD Metropolitan Statistical Area",3,105
"San Angelo, TX Metropolitan Statistical Area",3,105
"Sherman-Denison, TX Metropolitan Statistical Area",3,105
"Tallahassee, FL Metropolitan Statistical Area",3,105
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3,105
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",3,105
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3,105
"Abilene, TX Metropolitan Statistical Area",3.1,128
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",3.1,128
"Auburn-Opelika, AL Metropolitan Statistical Area",3.1,128
"Billings, MT Metropolitan Statistical Area",3.1,128
"Birmingham-Hoover, AL Metropolitan Statistical Area",3.1,128
"Bowling Green, KY Metropolitan Statistical Area",3.1,128
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",3.1,128
"Coeur d'Alene, ID Metropolitan Statistical Area",3.1,128
"Decatur, AL Metropolitan Statistical Area",3.1,128
"Dover, DE Metropolitan Statistical Area",3.1,128
"Kalamazoo-Portage, MI Metropolitan Statistical Area",3.1,128
"Kingston, NY Metropolitan Statistical Area",3.1,128
"Lansing-East Lansing, MI Metropolitan Statistical Area",3.1,128
"Lewiston, ID-WA Metropolitan Statistical Area",3.1,128
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",3.1,128
"Missoula, MT Metropolitan Statistical Area",3.1,128
"Racine, WI Metropolitan Statistical Area",3.1,128
"St. George, UT Metropolitan Statistical Area",3.1,128
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.1,128
"Springfield, MA-CT Metropolitan NECTA",3.1,128
"Topeka, KS Metropolitan Statistical Area",3.1,128
"Wichita Falls, TX Metropolitan Statistical Area",3.1,128
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",3.2,150
"Barnstable Town, MA Metropolitan NECTA",3.2,150
"Burlington, NC Metropolitan Statistical Area",3.2,150
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",3.2,150
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",3.2,150
"Chattanooga, TN-GA Metropolitan Statistical Area",3.2,150
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.2,150
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",3.2,150
"Fort Wayne, IN Metropolitan Statistical Area",3.2,150
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",3.2,150
"Knoxville, TN Metropolitan Statistical Area",3.2,150
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",3.2,150
"Lewiston-Auburn, ME Metropolitan NECTA",3.2,150
"Midland, MI Metropolitan Statistical Area",3.2,150
"Owensboro, KY Metropolitan Statistical Area",3.2,150
"San Diego-Carlsbad, CA Metropolitan Statistical Area",3.2,150
"Savannah, GA Metropolitan Statistical Area",3.2,150
"Tuscaloosa, AL Metropolitan Statistical Area",3.2,150
"Waco, TX Metropolitan Statistical Area",3.2,150
"Wichita, KS Metropolitan Statistical Area",3.2,150
"Bangor, ME Metropolitan NECTA",3.3,170
"Brunswick, GA Metropolitan Statistical Area",3.3,170
"California-Lexington Park, MD Metropolitan Statistical Area",3.3,170
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",3.3,170
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.3,170
"Evansville, IN-KY Metropolitan Statistical Area",3.3,170
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",3.3,170
"Jackson, MI Metropolitan Statistical Area",3.3,170
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",3.3,170
"Pittsfield, MA Metropolitan NECTA",3.3,170
"Reno, NV Metropolitan Statistical Area",3.3,170
"Winston-Salem, NC Metropolitan Statistical Area",3.3,170
"Cleveland, TN Metropolitan Statistical Area",3.4,182
"Fort Smith, AR-OK Metropolitan Statistical Area",3.4,182
"Great Falls, MT Metropolitan Statistical Area",3.4,182
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",3.4,182
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",3.4,182
"Lake Charles, LA Metropolitan Statistical Area",3.4,182
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",3.4,182
"Lawton, OK Metropolitan Statistical Area",3.4,182
"Lebanon, PA Metropolitan Statistical Area",3.4,182
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",3.4,182
"Montgomery, AL Metropolitan Statistical Area",3.4,182
"Port St. Lucie, FL Metropolitan Statistical Area",3.4,182
"Rochester, NY Metropolitan Statistical Area",3.4,182
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",3.4,182
"Tyler, TX Metropolitan Statistical Area",3.4,182
"Valdosta, GA Metropolitan Statistical Area",3.4,182
"York-Hanover, PA Metropolitan Statistical Area",3.4,182
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",3.5,199
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",3.5,199
"Battle Creek, MI Metropolitan Statistical Area",3.5,199
"Cheyenne, WY Metropolitan Statistical Area",3.5,199
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",3.5,199
"Columbus, OH Metropolitan Statistical Area",3.5,199
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",3.5,199
"Jackson, TN Metropolitan Statistical Area",3.5,199
"Janesville-Beloit, WI Metropolitan Statistical Area",3.5,199
"Laredo, TX Metropolitan Statistical Area",3.5,199
"Morristown, TN Metropolitan Statistical Area",3.5,199
"Punta Gorda, FL Metropolitan Statistical Area",3.5,199
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",3.5,199
"Syracuse, NY Metropolitan Statistical Area",3.5,199
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",3.6,213
"Dothan, AL Metropolitan Statistical Area",3.6,213
"Elmira, NY Metropolitan Statistical Area",3.6,213
"Florence, SC Metropolitan Statistical Area",3.6,213
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",3.6,213
"Gadsden, AL Metropolitan Statistical Area",3.6,213
"Greensboro-High Point, NC Metropolitan Statistical Area",3.6,213
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",3.6,213
"Hattiesburg, MS Metropolitan Statistical Area",3.6,213
"Hinesville, GA Metropolitan Statistical Area",3.6,213
"Jackson, MS Metropolitan Statistical Area",3.6,213
"Niles-Benton Harbor, MI Metropolitan Statistical Area",3.6,213
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",3.6,213
"Providence-Warwick, RI-MA Metropolitan NECTA",3.6,213
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",3.6,213
"Vallejo-Fairfield, CA Metropolitan Statistical Area",3.6,213
"Victoria, TX Metropolitan Statistical Area",3.6,213
"Wilmington, NC Metropolitan Statistical Area",3.6,213
"Altoona, PA Metropolitan Statistical Area",3.7,231
"Bay City, MI Metropolitan Statistical Area",3.7,231
"Binghamton, NY Metropolitan Statistical Area",3.7,231
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",3.7,231
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",3.7,231
"Glens Falls, NY Metropolitan Statistical Area",3.7,231
"Greenville, NC Metropolitan Statistical Area",3.7,231
"Johnson City, TN Metropolitan Statistical Area",3.7,231
"New Bedford, MA Metropolitan NECTA",3.7,231
"Ocala, FL Metropolitan Statistical Area",3.7,231
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",3.7,231
"Pittsburgh, PA Metropolitan Statistical Area",3.7,231
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.7,231
"Reading, PA Metropolitan Statistical Area",3.7,231
"Rome, GA Metropolitan Statistical Area",3.7,231
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",3.7,231
"Sumter, SC Metropolitan Statistical Area",3.7,231
"Utica-Rome, NY Metropolitan Statistical Area",3.7,231
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",3.8,249
"Clarksville, TN-KY Metropolitan Statistical Area",3.8,249
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",3.8,249
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",3.8,249
"Killeen-Temple, TX Metropolitan Statistical Area",3.8,249
"Longview, TX Metropolitan Statistical Area",3.8,249
"Memphis, TN-MS-AR Metropolitan Statistical Area",3.8,249
"Monroe, MI Metropolitan Statistical Area",3.8,249
"Morgantown, WV Metropolitan Statistical Area",3.8,249
"Muskegon, MI Metropolitan Statistical Area",3.8,249
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",3.9,259
"Bloomington, IN Metropolitan Statistical Area",3.9,259
"Colorado Springs, CO Metropolitan Statistical Area",3.9,259
